OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
587725552810459178,128.4221927,54.54932206,0.0314827,0.94915253,0.01694915,-19.36594772,-21.38914108,-22.20978737,-22.62556839,-22.8374176,11.06146145,22.20628738,0.72148669,3.86E-01,83.74185181,1.41E+14
587725039027159250,200.5615239,-3.6107753,0.0844843,0.08443401,0.85717541,-18.42831802,-19.90274239,-20.68359566,-21.054142,-21.3331089,10.40822411,4.33705997,0.51581639,3.45E-01,10.84752464,6.64E+14
588017567097618483,178.402012,12.951625,0.0836363,0.0734081,0.8860898,-18.49619675,-19.7256279,-20.38718224,-20.73446465,-20.92872047,10.22885036,4.61686802,0.32767752,1.1E+00,0.92920774,8.57E+13
588017704542666890,183.7119783,13.32908875,0.066314,0.30268118,0.6592539,-19.82191467,-21.04231834,-21.62812424,-21.89758301,-22.13386154,10.60300064,8.51262283,0.67126447,5.32E-01,0.17856918,1.19E+13
587733399710662898,222.3299474,49.726966,0.071358,0.15504701,0.844953,-18.11561966,-19.4999218,-20.40024948,-20.88574791,-21.31271744,10.36796379,9.27037811,0.35828272,-4.92E-01,15.38869762,6.1E+14
587742012742697214,174.2317374,21.21728841,0.064179,0.08491376,0.89558375,-18.94932747,-20.203825,-20.86490822,-21.18968582,-21.4661541,10.34780407,6.3003006,0.55409944,9.59E-03,-999,-9.99E+02
588018054576865417,216.5570063,46.85998436,0.0736785,0.6875,0.21875,-19.07084274,-20.65107155,-21.37520409,-21.70289993,-21.9737606,10.67969131,4.59969854,0.93432862,3.14E-01,8.13938904,4.79E+12
587726014547689631,215.676754,1.65261885,0.0784922,0.05484727,0.91393614,-19.35569572,-20.60101891,-21.11509895,-21.24966049,-21.21595001,10.30850792,5.94331551,0.48783955,-6.08E-01,30.51173973,5.97E+14
587729233591336993,253.8629367,42.82537514,0.053562,0.09720295,0.79018718,-18.27635765,-19.63171005,-20.27272415,-20.57680321,-20.78814507,10.13020611,8.36709213,0.45238391,-2.41E-01,46.66869354,1.41E+14
587725591455203539,260.6995929,65.57534513,0.0805823,0.3655237,0.20828815,-17.08973122,-19.65268707,-20.45854187,-20.83202171,-21.12816238,10.39527702,3.88945556,0.6649794,4.1E-01,3.76982713,1.58E+15
587736976889676220,246.3497385,20.74566432,0.0716136,0.54550391,0.45449612,-18.84373283,-20.34098434,-21.07417488,-21.43435287,-21.64992714,10.56742287,6.98238802,0.69402003,5.7E-02,-999,-9.99E+02
587733397572681979,244.2135354,34.99399687,0.0354288,0.2947641,0.56454521,-18.12396622,-19.75192642,-20.47726631,-20.8470211,-21.04656792,10.32932186,9.12464809,0.94313985,7.95E-01,42.85309219,1.08E+14
588015508211433641,36.16135103,-0.79923152,0.0667919,0,1,-20.18824196,-21.33867073,-21.89694023,-22.16226006,-22.3502636,10.63712883,9.32226372,0.67414564,2.08E-01,59.89584351,3.55E+14
587741490374705358,175.6928877,29.85819068,0.0589035,0.04354357,0.78306115,-18.64720154,-19.69323349,-20.21367264,-20.44054794,-20.51119041,9.87260246,8.92198086,0.39181811,-7.4E-01,-999,-9.99E+02
587728308026998899,164.8797,1.74046376,0.0378717,0.01730616,0.98269385,-18.57983017,-19.82728577,-20.41932869,-20.72230721,-20.91409492,10.07632923,9.33327675,0.58867508,8.13E-01,0.6435529,1.12E+14
587739295624593467,165.3101452,33.68562182,0.081632,0.91126537,0.08873464,-19.37639618,-21.00788307,-21.78397179,-22.13682556,-22.42419815,10.8878212,8.26551819,0.83986449,-8.84E-01,26.08139992,1.9E+14
