"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"145","David Moore (CAR)","5","7","94","18.8","52","4","1","0","0","0","0","7","15.4","2.2","0.1%"
"146","Jalen Guyton (LV)","10","21","89","8.9","18","0","1","0","0","0","0","8","14.9","1.9","1.1%"
"147","Trent Sherfield Sr. (MIN)","11","22","86","7.8","12","0","1","0","0","0","0","17","14.6","0.9","0.2%"
"148","Tyquan Thornton (NE)","13","23","91","7.0","15","0","0","3","51","0","0","9","14.2","1.6","0.2%"
"149","Byron Pringle (FA)","14","22","161","11.5","26","1","0","0","0","0","1","16","14.1","0.9","0.0%"
"150","Xavier Hutchinson (HOU)","8","19","90","11.3","34","2","0","5","49","0","0","15","13.9","0.9","0.2%"
"151","Terrace Marshall Jr. (CAR)","19","33","139","7.3","14","0","0","0","0","0","0","9","13.9","1.5","0.2%"
"152","Charlie Jones (CIN)","7","9","64","9.1","35","2","0","2","13","0","0","11","13.7","1.2","0.2%"
"153","Chase Claypool (BUF)","8","21","77","9.6","20","1","1","0","0","0","0","11","13.7","1.2","0.8%"
"154","Ben Skowronek (HOU)","8","12","66","8.3","20","1","1","2","9","0","0","17","13.5","0.8","0.1%"
"155","Randall Cobb (FA)","5","17","39","7.8","15","0","1","0","0","0","0","11","11.9","1.1","0.0%"
"156","D.J. Montgomery (IND)","3","8","56","18.7","34","2","1","0","0","0","0","7","11.6","1.7","0.0%"
"157","Jason Brownlee (NYJ)","5","8","56","11.2","24","1","1","0","0","0","0","7","11.6","1.7","0.2%"
"158","Lynn Bowden Jr. (NO)","11","16","83","7.5","17","0","0","5","32","0","0","15","11.5","0.8","0.0%"
"159","Laviska Shenault Jr. (SEA)","10","10","60","6.0","14","0","0","12","55","0","0","8","11.5","1.4","0.2%"
"160","Mecole Hardman Jr. (KC)","15","24","124","8.3","37","2","0","1","3","0","1","10","10.7","1.1","1.2%"
"161","Parris Campbell (PHI)","20","27","104","5.2","17","0","0","0","0","0","0","12","10.4","0.9","0.7%"
"162","Sterling Shepard (TB)","10","22","57","5.7","13","0","1","1","6","0","1","15","10.3","0.7","0.1%"
"163","Marquise Goodwin (FA)","4","13","67","16.8","57","4","0","4","33","0","0","12","10.0","0.8","0.0%"
"164","Keith Kirkwood (FA)","5","9","37","7.4","13","0","1","0","0","0","0","13","9.7","0.7","0.0%"
"165","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","9.6","1.1","0.0%"
"166","Richie James Jr. (FA)","10","14","114","11.4","45","3","0","0","0","0","1","9","9.4","1.0","0.0%"
"167","Tim Jones (JAC)","11","18","83","7.5","15","0","0","0","0","0","0","17","8.3","0.5","0.0%"
"168","Samori Toure (GB)","8","18","78","9.8","35","2","0","0","0","0","1","11","7.8","0.7","0.0%"
"169","Tylan Wallace (BAL)","1","2","11","11.0","11","0","0","0","0","0","0","9","7.1","0.8","0.1%"
"170","Velus Jones Jr. (CHI)","4","7","20","5.0","11","0","0","8","51","0","0","14","7.1","0.5","0.2%"
"171","Simi Fehoko (LAC)","1","2","9","9.0","9","0","1","0","0","0","0","5","6.9","1.4","0.1%"
"172","Chris Conley (SF)","3","6","69","23.0","48","3","0","0","0","0","0","8","6.9","0.9","0.1%"
"173","Tyler Johnson (LAR)","2","3","8","4.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"174","Jalen Brooks (DAL)","6","6","64","10.7","24","1","0","0","0","0","0","7","6.4","0.9","0.1%"
"175","Equanimeous St. Brown (NO)","5","6","62","12.4","21","1","0","0","0","0","0","7","6.2","0.9","0.1%"
"176","Rakim Jarrett (TB)","4","9","60","15.0","41","3","0","1","0","0","0","10","6.0","0.6","0.1%"
"177","DeAndre Carter (CHI)","4","7","39","9.8","16","0","0","3","18","0","0","17","5.7","0.3","0.0%"
"178","Isaiah McKenzie (NYG)","11","14","82","7.5","30","2","0","3","14","0","2","13","5.6","0.4","0.2%"
"179","Justyn Ross (KC)","6","11","53","8.8","20","1","0","0","0","0","0","10","5.3","0.5","0.2%"
"180","Mike Strachan (CAR)","1","3","45","45.0","45","3","0","0","0","0","0","4","4.5","1.1","0.0%"
"181","Britain Covey (PHI)","4","6","42","10.5","22","1","0","0","0","0","0","16","4.2","0.3","0.1%"
"182","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","3.8","0.4","0.0%"
"183","Keelan Doss (FA)","6","13","33","5.5","9","0","0","0","0","0","0","5","3.3","0.7","0.0%"
"184","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","3.3","0.3","0.2%"
"185","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","2.9","0.5","0.0%"
"186","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","2.9","0.5","0.1%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","2.6","0.9","0.0%"
"188","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.1%"
"189","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","2.0","0.2","0.1%"
"190","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","1.9","0.1","0.1%"
"191","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","1.9","0.4","0.1%"
"192","Miles Boykin (NYG)","3","4","17","5.7","6","0","0","0","0","0","0","16","1.7","0.1","0.0%"
"193","Laquon Treadwell (FA)","1","3","16","16.0","16","0","0","0","0","0","0","4","1.6","0.4","0.0%"
